timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554774418670,3147,Register,201,,Thread Group 1-55,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3146,0,507
1554774418520,3302,Register,201,,Thread Group 1-47,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3302,0,354
1554774418627,3208,Register,201,,Thread Group 1-52,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3208,0,396
1554774418576,3258,Register,201,,Thread Group 1-50,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3258,0,378
1554774418686,3143,Register,201,,Thread Group 1-53,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3143,0,315
1554774418428,3400,Register,201,,Thread Group 1-46,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3400,0,422
1554774418738,3078,Register,201,,Thread Group 1-56,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3077,0,388
1554774418399,3425,Register,201,,Thread Group 1-43,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3425,0,411
1554774418321,3502,Register,201,,Thread Group 1-38,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3502,0,430
1554774418503,3320,Register,201,,Thread Group 1-48,text,true,,358,341,170,170,https://csye6225-spring2019-cuijingy.me/user/register,3320,0,452
1554774418858,3266,Register,201,,Thread Group 1-60,text,true,,358,341,175,175,https://csye6225-spring2019-cuijingy.me/user/register,3266,0,392
1554774419904,2227,Register,201,,Thread Group 1-104,text,true,,358,341,175,175,https://csye6225-spring2019-cuijingy.me/user/register,2227,0,413
1554774418131,4041,Register,201,,Thread Group 1-31,text,true,,358,341,175,175,https://csye6225-spring2019-cuijingy.me/user/register,4041,0,438
1554774418945,3317,Register,201,,Thread Group 1-68,text,true,,358,341,175,175,https://csye6225-spring2019-cuijingy.me/user/register,3317,0,512
1554774418353,4094,Register,201,,Thread Group 1-40,text,true,,358,341,176,176,https://csye6225-spring2019-cuijingy.me/user/register,4094,0,364
1554774418164,4523,Register,201,,Thread Group 1-32,text,true,,358,341,195,195,https://csye6225-spring2019-cuijingy.me/user/register,4523,0,583
1554774419610,3087,Register,201,,Thread Group 1-82,text,true,,358,341,195,195,https://csye6225-spring2019-cuijingy.me/user/register,3087,0,383
1554774418935,3771,Register,201,,Thread Group 1-64,text,true,,358,341,195,195,https://csye6225-spring2019-cuijingy.me/user/register,3771,0,328
1554774419631,3103,Register,201,,Thread Group 1-85,text,true,,358,341,196,196,https://csye6225-spring2019-cuijingy.me/user/register,3103,0,354
1554774419148,3764,Register,201,,Thread Group 1-74,text,true,,358,341,217,217,https://csye6225-spring2019-cuijingy.me/user/register,3764,0,569
1554774418938,4007,Register,201,,Thread Group 1-66,text,true,,358,341,222,222,https://csye6225-spring2019-cuijingy.me/user/register,4007,0,513
1554774418179,4774,Register,201,,Thread Group 1-36,text,true,,358,341,222,222,https://csye6225-spring2019-cuijingy.me/user/register,4774,0,537
1554774419216,3771,Register,201,,Thread Group 1-78,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,3771,0,433
1554774419039,3949,Register,201,,Thread Group 1-70,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,3949,0,463
1554774419154,3840,Register,201,,Thread Group 1-75,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,3840,0,434
1554774419633,3364,Register,201,,Thread Group 1-84,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,3364,0,366
