timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554939032401,3101,Register,201,,Thread Group 1-23,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3101,0,1013
1554939032233,3270,Register,201,,Thread Group 1-6,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3270,0,917
1554939032743,2761,Register,201,,Thread Group 1-57,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2761,0,867
1554939032775,2730,Register,201,,Thread Group 1-60,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2730,0,842
1554939032350,3156,Register,201,,Thread Group 1-18,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3156,0,798
1554939032551,2956,Register,201,,Thread Group 1-38,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2956,0,898
1554939032594,2913,Register,201,,Thread Group 1-42,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2913,0,829
1554939032541,2967,Register,201,,Thread Group 1-37,text,true,,358,295,333,333,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2967,0,1061
1554939032273,3252,Register,201,,Thread Group 1-10,text,true,,358,295,335,335,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3252,0,702
1554939032470,3177,Register,201,,Thread Group 1-30,text,true,,358,295,347,347,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3177,0,948
1554939032343,3313,Register,201,,Thread Group 1-17,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3313,0,817
1554939032531,3126,Register,201,,Thread Group 1-36,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3126,0,1083
1554939032830,2828,Register,201,,Thread Group 1-66,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2828,0,773
1554939032241,3418,Register,201,,Thread Group 1-7,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3418,0,722
1554939032570,3090,Register,201,,Thread Group 1-40,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3090,0,1032
1554939032791,2870,Register,201,,Thread Group 1-62,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,2869,0,829
1554939032301,3360,Register,201,,Thread Group 1-13,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3360,0,849
1554939032192,3470,Register,201,,Thread Group 1-2,text,true,,358,295,348,348,https://nowaf.csye6225-spring2019-cuijingy.me/user/register,3470,0,954
